Question,Answer,Sources
What are the symptoms of allergic rhinitis?,"Based on the provided medical records, the symptoms of allergic rhinitis observed include:
*   A mildly erythematous throat (Allergic Rhinitis, Allergy / Immunology).
*   Erythematous nasal mucosa (Allergic Rhinitis, Allergy / Immunology).
*   Swollen nasal mucosa (Allergic Rhinitis, Allergy / Immunology).
*   Clear nasal drainage (Allergic Rhinitis, Allergy / Immunology).", Allergic Rhinitis 
Describe the procedure for laparoscopic gastric bypass.,"The procedure for laparoscopic gastric bypass involves a Laparoscopic Roux-en-Y gastric bypass (Laparoscopic Gastric Bypass - 1, Laparoscopic Gastric Bypass, Gastric Bypass Discussion - 3). This bypass is antecolic and antegastric (Laparoscopic Gastric Bypass - 1, Laparoscopic Gastric Bypass), and includes an EEA anastomosis (Laparoscopic Gastric Bypass, Laparoscopic Gastric Bypass - 1), specifically a 25-mm EEA anastomosis (Laparoscopic Gastric Bypass - 1). An esophagogastroduodenoscopy is also part of the procedure (Laparoscopic Gastric Bypass - 1)."," Gastric Bypass Discussion - 3 ,  Laparoscopic Gastric Bypass ,  Laparoscopic Gastric Bypass - 1 "
What findings were noted in the 2-D Echocardiogram?,"The 2-D Echocardiogram noted the following findings:
*   Left atrial enlargement with a left atrial diameter of 4.7 cm (2-D Echocardiogram - 1, Cardiovascular / Pulmonary).
*   Normal size right and left ventricle (2-D Echocardiogram - 1, Cardiovascular / Pulmonary).
*   Normal LV systolic function with a left ventricular ejection fraction of 51% (2-D Echocardiogram - 1, Cardiovascular / Pulmonary).
*   Normal LV diastolic function (2-D Echocardiogram - 1, Cardiovascular / Pulmonary).
*   No pericardial effusion (2-D Echocardiogram - 1, Cardiovascular / Pulmonary).
*   Normal morphology of the aortic valve, mitral valve, tricuspid valve, and pulmonary valve (2-D Echocardiogram - 1, Cardiovascular / Pulmonary).
*   PA systolic pressure is 36 mmHg (2-D Echocardiogram - 1, Cardiovascular / Pulmonary).
*   Mild mitral and tricuspid regurgitation (2-D Echocardiogram - 1, Cardiovascular / Pulmonary).
*   Trace aortic and pulmonary regurgitation (2-D Echocardiogram - 1, Cardiovascular / Pulmonary)."," 2-D Echocardiogram - 2 ,  2-D Echocardiogram - 1 "
What is the treatment for chronic sinusitis?,"I cannot find the answer in the provided medical records. The provided context discusses the treatment plan for ""Allergic rhinitis"" (Allergy / Immunology, Allergic Rhinitis), but does not mention chronic sinusitis.", Allergic Rhinitis 
How is a lumbar puncture performed?,I cannot find the answer in the provided medical records.," Moyamoya Disease ,  Pyeloureteroscopy ,  TURP "
What are the indications for a total hip replacement?,I cannot find the answer in the provided medical records.," Laparoscopic Gastric Bypass Consult - 2 ,  Laparoscopic Gastric Banding - Preop Visit  ,  Prostate Adenocarcinoma "
Describe the post-operative care for a cataract surgery.,I cannot find the answer in the provided medical records.," Laparoscopic Gastric Bypass ,  Gastric Bypass Summary ,  Laparoscopic Gastric Banding - Preop Visit  "
What are the common side effects of chemotherapy?,"Common side effects of chemotherapy include nausea, vomiting, fatigue, hair loss, mouth sores, and an increased risk of infection due to a weakened immune system (Medical Oncology Report, Oncology)."," Laparoscopic Gastric Bypass Consult - 2 ,  Laparoscopic Gastric Bypass Consult - 1 ,  Allergic Rhinitis "
What symptoms indicate a possible hernia?,"I cannot find the answer in the provided medical records. The patient specifically denies a hiatal hernia (Testicular Pain, Urology), but the context does not describe symptoms that indicate a possible hernia."," Laparoscopic Gastric Bypass Consult - 2 ,  Testicular Pain "
Explain the diagnosis of carpal tunnel syndrome.,I cannot find the answer in the provided medical records.," Laparoscopic Gastric Bypass Consult - 2 ,  Testicular Pain ,  Laparoscopic Gastric Banding - Preop Visit  "
